title,tag,artist,year,views,features,lyrics,id,language_cld3,language_ft,language
Hit The Rhyme,rap,Soft Lipa,2011,362,{},"在我開始押韻之前
我從節拍裡偷閒
撇開了輕鬆的旋律和舒服的聲線
我先聲明一點
不用艱深的字眼
文字一樣源源不絕彷彿天生活字典
這是我目標 我想要走的路 and
押韻能打開想像力的窗戶
可以談天說地像一群朋友睡在通舖
可以單刀直入 無拘束
用最通俗的講法表達豐富的想法
所有痛苦和快樂都讓你像親身經歷
我收服人心的方法 so cool
用旋律節拍征服
聽到這裡你 就這樣被我征服
It's old school 但人是念舊的動物
看 我是這樣烹煮我的soul food
旋律大鼓和小鼓
And I hit the rhyme too

[Hook]
I hit the rhyme
找出最簡單的方法
Hit the rhyme
似乎是最好的回答
Don't ask me why
怎麼說呢 怎麼說呢 總之我
Hit the rhyme
Like this......
你期待我給你什麼 為什麼
要怎麼 才能讓你快樂 而沒有負擔
於是我選擇 顯得像普通人一般
有料卻簡單 人人買得起的孔雀餅乾
我喜歡 認真而不要太嚴肅
偶爾主觀 但大家都接受的程度
不用講得太深 想像空間卻自然延伸
我講得太真 你嘆了嘆說""幹!真的!""
也許你說我普普通通
太軟的flow沒法讓人虎虎生風 但是
輕飄飄的才能升空
我靜悄悄地不消太嘮叨會讓你亂糟糟呢
我招了 從我腦海撈的 想法不特別
但 最重要是感覺
看 我是這樣押韻不斷
其他先不管
在我的show time
Just hit the rhyme

[Hook]

如果每首歌都是我的孩子
嗯...我想大部分是女孩子
像是鄰家女孩 是那樣可愛
有輕微近視 戴上眼鏡又變女教師
讓你不斷點頭稱是 但連紳士
也幻想是學生兼職
是的我堅持 獻上她們是我天職
誰能拋開偏執 就能先馳得點
她們比較溫柔也比較文靜
和我一樣熱愛自由 so沒有門禁
隨便 你帶她 去哪裡 都可以
出現 在CD 隨身聽 maybe TV
出現在你們想去的每個地方
出現在每個夜晚 陪你進入夢鄉 (night)
當她們陪我出現 請歡呼鼓掌
能得獎的押韻 讓我keep it on
[Hook]",6396,zh,zh,zh
12 TIL INFINITY,rap,"YOUNG QUEENZ , MATT FORCE & GRYMEMAN",2012,1155,"{""YOUNG QUEENZ / MATT FORCE & GRYMEMAN""}","YoungQueenz: (intro)

Halla is your boy young queenz , grymeman , matt force , we do the shit for real , dig what I'm sayin taht , 24 hour grindin , JERK

YoungQueenz :
只係本小說 你話完結 但我寫緊序
隨住氣流升起 飛起卻時急墜
係野地搜索遺落記憶 那怕早被麻雀喙走
復活島般神祕 北野武式既暴力美學--- 12' til infinity
被打入四肢脉絡 好似齒輪晝夜轉動
Money make the world go round
我世界係停轉日 由發酵到麵包
只係個瞬間過程 收集麵團dough
卻完全都係虛耗畢生之力 but it all worth
顫動既肌肉 you shook 手無寸鑯 我地荷槍 配鼓式彈匣
例為甲級 W$R 上帝助自助者 謙卑 don't act like a dumbass
留意最細既蟻 微不足道但照樣make the damn thing big
東南西風我地撒 有人敗北
只係本小說 我掀開新一頁 你敗筆 / no game

(HOOK)
生有時 死有時 hiphop 唔會停止
Everybody x3
We keep grinding 成功點介定唔會太介懷總知我唔會停
生有時 死有時 hiphop 唔會停止
Everybody x3
We keep grinding 成功點介定唔會太介懷總知我唔會停
Matt Force:
撒野作風hustle hard 拚命基本上成為我地本能
好似黑手黑手黨 本性犯罪 你反對我說唱
我反而要讓音樂 如細菌般滋生
你話我如細蚊仔天真夾痴根 請讓我free run
Yeah we run唔停對比起你 you dumb 等等等
一事無成我既計劃圖已經成型清晰過你仲砌緊既高達模型
你唔認識 呢種文化 呢種音樂
就任意扣上壞孩子名字將我去捆綁
I stay strong 去對抗 盲目反對既一班 保守黨
耍手段 口術厚顏無恥 睇清楚我做莊
Yeah這裏我就是宙斯 你只是詛咒師
我手持壽衣幫你收屍收埋隻手指
想走私我 idea偷橋我嚴厲懲治你想點罰 我俾你揀abcd

(HOOK)
生有時 死有時 hiphop 唔會停止
Everybody x3
We keep grinding 成功點介定唔會太介懷總知我唔會停
生有時 死有時 hiphop 唔會停止
Everybody x3
We keep grinding 成功點介定唔會太介懷總知我唔會停

GrymeMan:
12 til infinity 撒野故事待續
將麼天大廈拆卸之後天際瀝瀝在目
我地集結力量出盡全力 直至到好似中央一黨獨大掌控權力
仿似日全蝕 you see us in the sky
希望我地同主流調解即使冇人擁戴
都不因氣壓搖擺 好似飛機引擎 we grinding
邊位想插手你準備截肢 we rap like we starving
重來沒食過餐飽打做新嘅味道 點會張啲舊餸返炒
不斷努力 即使整個世界忠告 我會空肚終老 但相反飢餓令我感到存在
唔駛理紫微斗數 相信紙皮構造 嘅火箭可以帶我直達伊甸園內
打破舊嘅哲學 新嘅時代又我地揭幕 撒野聚集
係原子嘅結合 創最 原始嘅協合
(HOOK)
生有時 死有時 hiphop 唔會停止
Everybody x3
We keep grinding 成功點介定唔會太介懷總知我唔會停
生有時 死有時 hiphop 唔會停止
Everybody x3
We keep grinding 成功點介定唔會太介懷總知我唔會停",105554,zh,zh,zh
子午線上的記號,rap,Triple G,2013,326,{},"Verse 1:
每一步 成長路 究竟有無 成長到
想得到 要上路 但我偏偏選擇 停響到
依然繼續兜兜轉轉 望左望右
我將一個已跌碎既指南針 放左床頭
已經喪 失既方向感 每當 一個都強忍
月光 下獨酌一人 獨自暢飲
不停咁飲恨 已經無乜野 可以做
我既人生 係一條無限延伸既 破折號
嘗試握緊 想擁有 想握緊 所擁有
但握緊拳頭 卻係代表一無所有 一切歸零
But I must keep on fighting 刻上記號
勇氣就係呢位少年 站立 散發 既味道

Hook:
Yeah Life is a struggle 我有我自己一套
呢條係我自己既路 我有分數
我選擇閉門造車 自己深造
呢條係我自己既路 我自有分數 x2

Verse 2:
一絲思念羈絆昨日 輕狂 歲月
如歌 經筆尖 滑走過 未留白既 白走
可否再次經過 最初 再彌補一切 罪過
偏偏遺憾 最多 被現實 拒絕
刻上時鐘 上既分秒無法 逆轉
就正如黑白存在關係太過 極端
厭倦 點樣可以改變 呢一切
又抑或打從一出世 已選擇目空 呢一切
目中無人 係因為 入世未深
雙目無神 由入世 心結綁緊 眉心
未曾開心 過 唔明何謂 痛入心
最痛既係發覺自己連笑容都變得 陌生
腦袋一片空白 追溯已經遺忘既 回憶
回到原點 係咪依然選擇反抗 回擊
Yeah man 我既座右銘係以牙還牙
請記住 Triple.G係一個不折不扣既Trouble Maker
Hook:
Yeah Life is a struggle 我有我自己一套
呢條係我自己既路 我有分數
我選擇閉門造車 自己深造
呢條係我自己既路 我自有分數 x2

Outro:
飾演壞孩子既我演得入型入格
話我唔夠成熟即使我行年十八x4",202347,zh,zh,zh
Its OK,rap,DoubleJ,2013,555,{},"[hook(2x):]

你不停在八卦 its ok

你在网络上骂 its ok

随便你叫我Bitch its ok

你男友把我当女神 its ok



[Verse 1]

饒舌的鄧麗君又帥又經典

我是饒舌的呆寶靜 自己就是經典

我從起點走到今天

不需要終點
你千萬別認可我已徒手撐起一片天

有人從台北牛到北京

可他講在台灣只知道天王星有呆寶靜

我講話有口音 聲音正中把心

管你吃軟怕硬 我都行

我不寫吹牛的歌 钱够花買不起跑車

不靠男人養著 生活自己選的

別嫉妒我確實長的比你好看

但才華不是寫在臉上不介意你把我當榜樣

我在拍廣告也在饒舌

賺的比較多

因為我是實力偶像派的結合

你越嫉妒越嫉妒 我越爽
誰叫我的生活根本就是你的夢想



[hook(2x):]

你不停在八卦 its ok

你在网络上骂 its ok

随便你叫我Bitch its ok

你男友把我当女神 its ok



[Verse2 ]

專門找我挑事心思別再浪費

不嫌累 來 對號入座你的座位

別指望我會指名道姓的罵誰

因為你丫根本就不配
四處叫喚沒教養 只能怪你家長

瘋狗搶道亂咬人就讓狗先過不丟人

想提高標準 重新做人 輸了就得認 來 叫我女神

Oh,Oh . you're not feelin' me？Fine

It cost u nothin pay me no mind

為何你聽的還是我的歌，講來講去講的話題還是圍繞我呢

Haters make me famous

我是你的假想敵trouble maker

可是請問你又是哪一個哪一個

If u hate me給你給你middle finger



[hook(2x):]

你不停在八卦 its ok

你在网络上骂 its ok

随便你叫我Bitch its ok

你男友把我当女神 its ok",206617,zh,zh,zh
通用化學在說唱工業領域中的應用及其發展,rap,Young Mai,2013,85,{Super},"Verse 1: Dr. Super
今日新的方程式
所有元素 數據 都需要重置
標注了成分 計算了成本
期待的反應 你得誠懇

被擱置了太久活得像是枯木
說唱被氧化沒有新鮮度
被蒸發了水分 需要金銅鐵
所有微量元素讓它變得圓潤

溫度升高
我來分解這些凝固的愚鈍 驗證和結論
偷我的配方你沒有學到精髓
被灌進了氨水 鹼性的虛偽

先要剔除一些雜亂的物質
像在編一個故事 做了音樂的護士
Super的論文被寫成教科書
每個化學元素都像是音符
注意你的配平 做好筆記
甲烷的燃燒能夠減少你的氧氣
我的verse像被加熱的試管
我的beat都有平等的置換

Hook

嘶 哈 蒸發你的靈魂
嘶 哈 沉澱你的精華
嘶 哈 過濾你的雜質
保持你的態度 堅持你的技術
得出你的方程式

Verse 2: Dr Mai
100 克的韻腳倒入冒著煙的量杯
3 公升的精髓 別壞了行規
說唱通用化學 配方不絕對
行業的領軍 像是 Dr Dre

提純到最純 打開了閥門
過濾所有毒素 千萬別分神
清澈到混沌 專業的顧問
嚴謹的結論 去打倒神棍

分解 合成 催化
冷卻 昇華 蒸發
還原 氧化 再次循環
我的配方像是一道大餐
收集數據 完善我的分配
只相信科學 與成功乾杯
不斷的實驗 不只是動嘴
瘋狂的天才他們叫我 Young Mai

Hook

嘶 哈 蒸發你的靈魂
嘶 哈 沉澱你的精華
嘶 哈 過濾你的雜質
保持你的態度 堅持你的技術
得出你的方程式

Conclusion
化學是一門以實驗作為基礎的科學，從身邊的生活中發現化學，了解化學，品味化學。",212089,zh,zh,zh
Intro Ghetto Superstar,rap,MC HotDog,2012,193,{},"欸瘦子
最喜歡哪個饒舌歌手
幹那當然是熱狗啊
為什麼啊
幹他這麼屌
他賺超多錢 開跑車 把那種model
Damn
開香檳喝包廂
蛤
我在很講認真的 超屌
你懂我意思嗎懂我懂我意思嗎
我朋友上次在東區看到他 在西門看到他
欸欸欸你給我shut up
你剛剛說熱狗多屌啊
你看那誰啊
欸不會吧太扯了吧
欸他怎麼騎一台爛車啊",235801,zh,zh,zh
請安全放鞭炮,rap,T Crash,2014,34,{},"拖鞋：

恭喜發財～歲歲平安～

You want more lucky right～

把紅包拿來

我一眨眼望去每個人臉上都特別的high

新的一年到來每個人打扮的特別的帥

滿大街的每一個角落全部都飄著中國紅

老北京的每一個胡同～過年氣氛特別濃

咱是龍的傳人聽好～我們絕對不會慫

要讓全世界每一個角落全都掛起中國風

我就是不愛過耶誕節
我只喜歡過年

我為中文說唱代言

我的flow氣沉丹田

我代表rapper給你拜年

過年好～過年～

在這春暖花開的季節

就讓我們給你拜年～



從西到東 從南到北

所有的父老鄉親們全部都跟我說

請安全放鞭炮～

請安全放鞭炮～

請安全放鞭炮～
請安全放鞭炮～

從夏威夷 再到港澳臺

所有的港澳同胞們全部都和我說

請安全放鞭炮～

請安全放鞭炮～

請安全放鞭炮～

請安全放鞭炮～



小范兒：

讓舊的一切都Let it go

把好運牽鼻子走

數錢數到昏了頭

怎麼玩都不覺得夠
任何時候 不會失手

新的一年 就像路口

就像紅綠燈在你的手中

就像T-CRASH在你的左右

他們都知道我的Homie真的特別多

在世界各地紐約倫敦 多倫多

大年初一就有老外們對我說

過年好~過年～

過年好~過年～



李魏西：

我就是不愛過耶誕節

我只喜歡過年

我買LV不用花錢

我為自己代言

我代表T-CRASH給你拜年

過年好～過年～

在這春暖花開的季節

就讓我們給你拜年～


(副歌)



大眼炮：

每天一大早就劈裡啪啦放鞭炮

每年春晚都在三十晚上八點到

新的一年我們還要讓你不停不停燥

T-CRASH給你拜年我叫 大眼炮~

祝願漂泊遊子 能夠買到票

祝願朝鮮人民 能夠吃到飽

希望宅男屌絲 能夠變土豪

沒人要的剩女 眼光別太高



拖鞋：

我就是不愛過耶誕節

我只喜歡過年

我為中文說唱代言

我的flow氣沉丹田

我代表rapper給你拜年

過年好～過年～

在這春暖花開的季節

就讓我們給你拜年～



(副歌)



MIRO：

我是T-CRASH唯一女將在這裡給你拜年

新一年有新氣象用新的笑臉譜寫全新的詩篇

新的日曆 新的時間 新的面貌來迎接全新的起點

代表中國Hip-Hop的先鋒要為這個 領域 代言

所有好運都on the way~

所有黴運都會delete~

今朝就讓我們徹夜醉~

2014絕不會後退

就讓我把開心的一半分你

就打造嶄新的自己

就沾著過年的喜氣為中國說唱開天闢地~",350954,zh,zh,zh
GAMER REMIX,rap,Peatle,2014,730,{YoungQueenz},"Peatle :
在懂事之後 或更年青的時候
什麼時候情緒遂漸開始 失落
靈魂像是被拔插座 學習避免差錯
回想哪個馬子被你插過 青春交錯 是成長的代價
如果它能保值 我想贖回 請你代價
人心太險惡 轉移批評政策 結果剩的 是總統濫權偵測
擁有同樣目的想保護朋友 家人 和所愛的人 就算過程很久
現實中載浮 載沉 身體越生鏽 終點是愛我的神 到那不會很久
除了衪有誰肯救 這時代的痛苦該誰拯救
真實的殘酷 盼你目擊 不急 只爲了生存的目的 so i don't hate the player

Hook :
Hate this game then you might be safe
If y'all try to get , maybe y'all ain't get nothing yet

YoungQueenz:
胚胎到棺木 俳佪無數既界
賄賂住警官 頹垣既街數無盡敗壞
My mind 被俘虜侵蝕剩下骷顱 苦惱同山埃滿枱
孤獨既人怪世界 世界怪既魂 永遠注定屬於孤傲
Keep third eye open son 困係社會迷宮 我地選擇鳥瞰
Ganja roll and smoke .38 lock and load
散發既樂與怒 如風與浪無操控
騷動熾熱性 潛意識繼續犯濫 開始發難
繁華既陰影間 一夜黑欲望中掙扎
We sink 分解酵素 催化死亡活性
嘴掛上帝已死 卻又膽怯尋求護庇
The game ain't safe 亦經已失去哲理
和平係最邪惡童話 現實遊戲接理
全城市佔領 手上既初衷摺起 別無選擇
God , don't hate the player
God don't hate my prayer",352299,zh,zh,zh
2014852,rap,Dirty.R,2014,84,{Nicco.T},"[Verse 1: Dirty.R]
如果有得揀我情願留返喺上世紀
去搵返今日 失去左 既人情味
以前既市民 唔洗為生活頭痕
但依家好多人捱兩份工 都未能脫貧
大石 越變 越大 壓到一地死蟹
越用力去反抗 壓力變得 越大
傳統 街坊生意 一代傳一代
但去到今時今日已風光不再
巨人太無情 歲月太無情
最怕 天星碼頭遲早都變埋模型
彌敦道街道街舖再無特色
香港老字號 被掩蓋開始慢慢絕跡
食物不再地道 道道都一樣味道
機械式既生活 末日般既地步
太多無理規矩 令節日變得沒趣
八十後有所比對 回憶 將會係罪

[Hook]
如果可再活過 不想生於這地方
(有得揀我都揀離開計時炸彈)
憧憬早已劃破 今天可得到什麼
(有得揀我都揀離開計時炸彈)

[Verse 2: Nicco.T]
龍獅舞動化身五星下既紫荊
係光復重現黎明定從此踏上薄冰
獅子山下精神已經盡化泡影
回歸誕下一堆堆既問題衝擊香港
雙非搶奶粉搶床太猖狂
矛盾激化終於出現倒蝗
香港呢個社會狀況實太瘋狂
到我二十踏足社大開始知道
長大就要為一切開銷苦惱
樓價物價令我地都成為大財團既俘虜
到想周圍行下走走抖抖
先發現周圍只有藥房金鋪就手
無法承受 將一切不滿不忿訴諸於口
憤青廢青各種標籤嘗試焗我收口
生於80後既佢對香港變遷感慨良多
但生於90後既我只想講

[Hook]
如果可再活過 不想生於這地方
(有得揀我都揀離開計時炸彈)
憧憬早已劃破 今天可得到什麼
(有得揀我都揀離開計時炸彈)

[Verse 3: Dirty.R]
有一個願望我揀 我想 要返 以前既肥彭
停留返喺果段時間 起碼佢有承擔 陪市民渡過難關
但回歸現實幸福注定有個期限
與其繼續期盼 倒不如脫離現實生於虛幻
渺小既蟻民無最慘只有更慘
我無涉及政治只想應知既人正視
永遠都追唔上物價既 最低工資
出生於8090 體會到最無助
佔左八成九成 出盡力但無好結果
用一百年時間 建造出黎既文化之都
深遠既道德觀念 仲有幾多人會知道
再過多一百年 香港人全部被同化
東方之珠既美譽 即將會變成童話
香港風浪再大香港人都唔會死 講到尾
要喺我地既屋企繼續做自己",405648,zh,zh,zh
梅厭芳,rap,"Simon , Triple G",2014,53,"{""Simon / Triple G""}","Simon:
乍現的程度 像清晨的第一道曙光 展開救贖
怕我們的光彩太過搶眼 你得護目
我直述 將撲殺地下的那些過於猖獗
別再浪費的 子彈 他們說投降輸一半
苟延殘喘 的幾步路 變得難行
看我們的吞吐 就知道富含人性
還再抗拒新的 就當我不夠靈性
他們說那腐朽且過氣的排列組合 該死於非命
丟一廂新鮮的曲目 上色填滿調性
別靠近 先讓我電發一封過往的書信
大概在冬季 的身分囊括感性
要注意 我這把刺刃的後勁 是越磨越利
作品不曾透過氣 還燻著原味
風格暫時不租借
在每個日夜沉澱 不安穩的帶點震撼
先安內後壤外

(HOOK)
這是個動盪的年代 像軍閥割據
我正 轉動著筆芯 記錄最深刻的表情
唱得字句太冰 絲毫不帶感情
抓一把朱砂灑上 一切聽天由命
這是個動盪的年代 像軍閥割據
我正 轉動著筆芯 記錄最深刻的表情
唱得字句太冰 絲毫不帶感情
抓一把朱砂灑上 一切聽天由命
Triple G:
係一個動盪既年代 已經被風乾既日曆
代表存在 反抗卻乏力 被過去囚禁現在
殘破既連載 再無出版 你我活在當下大時代
巨輪破碎 粉碎左幾個秋
火紅過去 遺留左幾多愁/仇
而當時光倒退 一切依舊
不帶半點雲彩 再揮揮衣袖
用筆 紀昔日風花月
只得 褪色 風霜 另一種灑脫
刺骨 既寒風 理應聞到撲鼻既香
而現實 梅花唔賣寒冬既帳
相當諷刺 霉黃既黃梅厭倦芬芳
似長出既刺 倒插心房
早已經 停刊既漫畫 無人喝采
呢本漫畫封面寫住 ""動盪大時代""",409744,zh,zh,zh
